ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
KEN,Kenya,total,Sanitation,2004,16.09834,5600908.066,Open defecation
KEN,Kenya,rural,Sanitation,2004,19.73452,5402855.822,Open defecation
KEN,Kenya,urban,Sanitation,2004,2.67128,198052.3893,Open defecation
KEN,Kenya,total,Drinking water,2004,27.08617,9423775.391,Surface water
KEN,Kenya,rural,Drinking water,2004,33.60145,9199302.379,Surface water
KEN,Kenya,urban,Drinking water,2004,3.02764,224473.2533,Surface water
KEN,Kenya,total,Sanitation,2004,25.78617,8971482.951,Safely managed service
KEN,Kenya,rural,Sanitation,2004,26.84342,7349110.853,Safely managed service
KEN,Kenya,urban,Sanitation,2004,21.88214,1622372.362,Safely managed service
KEN,Kenya,total,Sanitation,2004,34.5296,12013481.41,Unimproved
KEN,Kenya,rural,Sanitation,2004,37.67968,10315827.38,Unimproved
KEN,Kenya,urban,Sanitation,2004,22.89751,1697653.826,Unimproved
KEN,Kenya,total,Drinking water,2004,15.0893,5249844.027,Unimproved
KEN,Kenya,rural,Drinking water,2004,17.76732,4864282.763,Unimproved
KEN,Kenya,urban,Drinking water,2004,5.20034,385560.8545,Unimproved
KEN,Kenya,total,Drinking water,2005,51.14309,18331223.42,At least basic
KEN,Kenya,rural,Drinking water,2005,41.09767,11537775.77,At least basic
KEN,Kenya,urban,Drinking water,2005,87.44333,6793448.312,At least basic
KEN,Kenya,total,Sanitation,2005,3.71795,1332623.861,Basic service
KEN,Kenya,rural,Sanitation,2005,2.07661,582988.7739,Basic service
KEN,Kenya,urban,Sanitation,2005,9.64909,749635.2082,Basic service
KEN,Kenya,total,Sanitation,2005,20.13509,7217020.563,Limited service
KEN,Kenya,rural,Sanitation,2005,13.79817,3873702.672,Limited service
KEN,Kenya,urban,Sanitation,2005,43.03424,3343318.157,Limited service
KEN,Kenya,total,Drinking water,2005,7.48522,2682926.405,Limited service
KEN,Kenya,rural,Drinking water,2005,8.38644,2354412.022,Limited service
KEN,Kenya,urban,Drinking water,2005,4.22854,328514.4716,Limited service
KEN,Kenya,total,Sanitation,2005,15.53553,5568401.993,Open defecation
KEN,Kenya,rural,Sanitation,2005,19.12324,5368666.839,Open defecation
KEN,Kenya,urban,Sanitation,2005,2.57094,199735.3326,Open defecation
KEN,Kenya,total,Drinking water,2005,26.61435,9539384.914,Surface water
KEN,Kenya,rural,Drinking water,2005,33.0955,9291242.084,Surface water
KEN,Kenya,urban,Drinking water,2005,3.19403,248143.1354,Surface water
KEN,Kenya,total,Sanitation,2005,26.1301,9365814.92,Safely managed service
KEN,Kenya,rural,Sanitation,2005,27.18444,7631768.733,Safely managed service
KEN,Kenya,urban,Sanitation,2005,22.32015,1734046.503,Safely managed service
KEN,Kenya,total,Sanitation,2005,34.48134,12359148.63,Unimproved
KEN,Kenya,rural,Sanitation,2005,37.81754,10616911,Unimproved
KEN,Kenya,urban,Sanitation,2005,22.42558,1742237.315,Unimproved
KEN,Kenya,total,Drinking water,2005,14.75734,5289475.259,Unimproved
KEN,Kenya,rural,Drinking water,2005,17.42039,4890608.127,Unimproved
KEN,Kenya,urban,Drinking water,2005,5.1341,398866.5814,Unimproved
KEN,Kenya,total,Drinking water,2006,51.8573,19148439.68,At least basic
KEN,Kenya,rural,Drinking water,2006,41.81188,12035583.91,At least basic
KEN,Kenya,urban,Drinking water,2006,87.37969,7112856.682,At least basic
KEN,Kenya,total,Sanitation,2006,3.74745,1383754.291,Basic service
KEN,Kenya,rural,Sanitation,2006,2.07925,598513.2965,Basic service
KEN,Kenya,urban,Sanitation,2006,9.64649,785241.1188,Basic service
KEN,Kenya,total,Sanitation,2006,20.37339,7522925.44,Limited service
KEN,Kenya,rural,Sanitation,2006,13.92744,4009024.872,Limited service
KEN,Kenya,urban,Sanitation,2006,43.1674,3513900.889,Limited service
KEN,Kenya,total,Drinking water,2006,7.56988,2795198.887,Limited service
KEN,Kenya,rural,Drinking water,2006,8.52511,2453959.242,Limited service
KEN,Kenya,urban,Drinking water,2006,4.19205,341239.815,Limited service
KEN,Kenya,total,Sanitation,2006,14.97565,5529796.595,Open defecation
KEN,Kenya,rural,Sanitation,2006,18.51197,5328686.401,Open defecation
KEN,Kenya,urban,Sanitation,2006,2.47059,201110.553,Open defecation
KEN,Kenya,total,Drinking water,2006,26.14598,9654470.003,Surface water
KEN,Kenya,rural,Drinking water,2006,32.58954,9380926.784,Surface water
KEN,Kenya,urban,Drinking water,2006,3.36042,273543.8497,Surface water
KEN,Kenya,total,Sanitation,2006,26.47569,9776216.545,Safely managed service
KEN,Kenya,rural,Sanitation,2006,27.52593,7923362.582,Safely managed service
KEN,Kenya,urban,Sanitation,2006,22.76186,1852854.52,Safely managed service
KEN,Kenya,total,Sanitation,2006,34.42782,12712560.09,Unimproved
KEN,Kenya,rural,Sanitation,2006,37.95541,10925494.86,Unimproved
KEN,Kenya,urban,Sanitation,2006,21.95365,1787064.942,Unimproved
KEN,Kenya,total,Drinking water,2006,14.42683,5327144.426,Unimproved
KEN,Kenya,rural,Drinking water,2006,17.07347,4914612.06,Unimproved
KEN,Kenya,urban,Drinking water,2006,5.06785,412531.653,Unimproved
KEN,Kenya,total,Drinking water,2007,52.56813,19995231.99,At least basic
KEN,Kenya,rural,Drinking water,2007,42.52629,12549058.48,At least basic
KEN,Kenya,urban,Drinking water,2007,87.31597,7446174.106,At least basic
KEN,Kenya,total,Sanitation,2007,3.77712,1436696.629,Basic service
KEN,Kenya,rural,Sanitation,2007,2.08189,614342.6599,Basic service
KEN,Kenya,urban,Sanitation,2007,9.64316,822354.0309,Basic service
KEN,Kenya,total,Sanitation,2007,20.61214,7840198.037,Limited service
KEN,Kenya,rural,Sanitation,2007,14.05622,4147843.277,Limited service
KEN,Kenya,urban,Sanitation,2007,43.29761,3692355.008,Limited service
KEN,Kenya,total,Drinking water,2007,7.65289,2910915.038,Limited service
KEN,Kenya,rural,Drinking water,2007,8.66358,2556530.234,Limited service
KEN,Kenya,urban,Drinking water,2007,4.15562,354384.8747,Limited service
KEN,Kenya,total,Sanitation,2007,14.41877,5484438.913,Open defecation
KEN,Kenya,rural,Sanitation,2007,17.9007,5282307.65,Open defecation
KEN,Kenya,urban,Sanitation,2007,2.37025,202131.387,Open defecation
KEN,Kenya,total,Drinking water,2007,25.68116,9768289.628,Surface water
KEN,Kenya,rural,Drinking water,2007,32.08359,9467528.869,Surface water
KEN,Kenya,urban,Drinking water,2007,3.52681,300760.9779,Surface water
KEN,Kenya,total,Sanitation,2007,26.823,10202608.04,Safely managed service
KEN,Kenya,rural,Sanitation,2007,27.86792,8223528.362,Safely managed service
KEN,Kenya,urban,Sanitation,2007,23.20726,1979079.938,Safely managed service
KEN,Kenya,total,Sanitation,2007,34.36896,13072851.36,Unimproved
KEN,Kenya,rural,Sanitation,2007,38.09327,11240922.07,Unimproved
KEN,Kenya,urban,Sanitation,2007,21.48172,1831928.605,Unimproved
KEN,Kenya,total,Drinking water,2007,14.09781,5362356.342,Unimproved
KEN,Kenya,rural,Drinking water,2007,16.72654,4935826.418,Unimproved
KEN,Kenya,urban,Drinking water,2007,5.0016,426529.0418,Unimproved
KEN,Kenya,total,Drinking water,2008,53.27547,20877002.52,At least basic
KEN,Kenya,rural,Drinking water,2008,43.24089,13081357.48,At least basic
KEN,Kenya,urban,Drinking water,2008,87.25219,7795644.248,At least basic
KEN,Kenya,total,Sanitation,2008,3.84304,1505966.831,Basic service
KEN,Kenya,rural,Sanitation,2008,2.08768,631569.5011,Basic service
KEN,Kenya,urban,Sanitation,2008,9.78663,874397.3043,Basic service
KEN,Kenya,total,Sanitation,2008,20.85132,8170984.763,Limited service
KEN,Kenya,rural,Sanitation,2008,14.18452,4291141.222,Limited service
KEN,Kenya,urban,Sanitation,2008,43.42487,3879843.239,Limited service
KEN,Kenya,total,Drinking water,2008,7.73422,3030799.973,Limited service
KEN,Kenya,rural,Drinking water,2008,8.80185,2662759.949,Limited service
KEN,Kenya,urban,Drinking water,2008,4.11926,368039.9054,Limited service
KEN,Kenya,total,Sanitation,2008,13.86498,5433254.315,Open defecation
KEN,Kenya,rural,Sanitation,2008,17.28943,5230446.657,Open defecation
KEN,Kenya,urban,Sanitation,2008,2.26991,202807.4432,Open defecation
KEN,Kenya,total,Drinking water,2008,25.21999,9882929.718,Surface water
KEN,Kenya,rural,Drinking water,2008,31.57764,9552956.219,Surface water
KEN,Kenya,urban,Drinking water,2008,3.6932,329973.1082,Surface water
KEN,Kenya,total,Sanitation,2008,27.136,10633754.98,Safely managed service
KEN,Kenya,rural,Sanitation,2008,28.20724,8533333.573,Safely managed service
KEN,Kenya,urban,Sanitation,2008,23.50881,2100420.993,Safely managed service
KEN,Kenya,total,Sanitation,2008,34.30467,13442934.15,Unimproved
KEN,Kenya,rural,Sanitation,2008,38.23114,11565791.07,Unimproved
KEN,Kenya,urban,Sanitation,2008,21.00979,1877143.058,Unimproved
KEN,Kenya,total,Drinking water,2008,13.77032,5396162.792,Unimproved
KEN,Kenya,rural,Drinking water,2008,16.37962,4955208.349,Unimproved
KEN,Kenya,urban,Drinking water,2008,4.93535,440954.7387,Unimproved
KEN,Kenya,total,Drinking water,2009,53.97832,21788050.2,At least basic
KEN,Kenya,rural,Drinking water,2009,43.9557,13629236.11,At least basic
KEN,Kenya,urban,Drinking water,2009,87.18833,8158812.876,At least basic
KEN,Kenya,total,Sanitation,2009,3.91336,1579604.418,Basic service
KEN,Kenya,rural,Sanitation,2009,2.09722,650281.1595,Basic service
KEN,Kenya,urban,Sanitation,2009,9.93112,929323.1377,Basic service
KEN,Kenya,total,Sanitation,2009,21.09031,8512984.505,Limited service
KEN,Kenya,rural,Sanitation,2009,14.31233,4437788.853,Limited service
KEN,Kenya,urban,Sanitation,2009,43.54916,4075195.189,Limited service
KEN,Kenya,total,Drinking water,2009,7.81393,3154050.913,Limited service
KEN,Kenya,rural,Drinking water,2009,8.93992,2771978.969,Limited service
KEN,Kenya,urban,Drinking water,2009,4.08297,382071.7597,Limited service
KEN,Kenya,total,Sanitation,2009,13.31463,5374376.425,Open defecation
KEN,Kenya,rural,Sanitation,2009,16.67816,5171354.978,Open defecation
KEN,Kenya,urban,Sanitation,2009,2.16956,203021.1267,Open defecation
KEN,Kenya,total,Drinking water,2009,24.76311,9995490.336,Surface water
KEN,Kenya,rural,Drinking water,2009,31.07169,9634321.216,Surface water
KEN,Kenya,urban,Drinking water,2009,3.85959,361168.5248,Surface water
KEN,Kenya,total,Sanitation,2009,27.4465,11078628.74,Safely managed service
KEN,Kenya,rural,Sanitation,2009,28.54329,8850347.306,Safely managed service
KEN,Kenya,urban,Sanitation,2009,23.8123,2228280.793,Safely managed service
KEN,Kenya,total,Sanitation,2009,34.2352,13818849.95,Unimproved
KEN,Kenya,rural,Sanitation,2009,38.369,11896981.68,Unimproved
KEN,Kenya,urban,Sanitation,2009,20.53786,1921868.773,Unimproved
KEN,Kenya,total,Drinking water,2009,13.44464,5426852.553,Unimproved
KEN,Kenya,rural,Drinking water,2009,16.03269,4971217.705,Unimproved
KEN,Kenya,urban,Drinking water,2009,4.86911,455635.84,Unimproved
KEN,Kenya,total,Drinking water,2010,54.67747,22700933.85,At least basic
KEN,Kenya,rural,Drinking water,2010,44.67071,14174779.88,At least basic
KEN,Kenya,urban,Drinking water,2010,87.12441,8526153.906,At least basic
KEN,Kenya,total,Sanitation,2010,3.98536,1654636.255,Basic service
KEN,Kenya,rural,Sanitation,2010,2.10679,668518.9674,Basic service
KEN,Kenya,urban,Sanitation,2010,10.07663,986117.23,Basic service
KEN,Kenya,total,Sanitation,2010,21.32965,8855623.753,Limited service
KEN,Kenya,rural,Sanitation,2010,14.43965,4581948.392,Limited service
KEN,Kenya,urban,Sanitation,2010,43.6705,4273675.399,Limited service
KEN,Kenya,total,Drinking water,2010,7.89193,3276561.618,Limited service
KEN,Kenya,rural,Drinking water,2010,9.07779,2880538.965,Limited service
KEN,Kenya,urban,Drinking water,2010,4.04675,396022.5876,Limited service
KEN,Kenya,total,Sanitation,2010,12.7675,5300795.548,Open defecation
KEN,Kenya,rural,Sanitation,2010,16.06688,5098297.568,Open defecation
KEN,Kenya,urban,Sanitation,2010,2.06922,202497.8449,Open defecation
KEN,Kenya,total,Drinking water,2010,24.31005,10093020.71,Surface water
KEN,Kenya,rural,Drinking water,2010,30.56573,9699030.504,Surface water
KEN,Kenya,urban,Drinking water,2010,4.02598,393989.9515,Surface water
KEN,Kenya,total,Sanitation,2010,27.75734,11524263.85,Safely managed service
KEN,Kenya,rural,Sanitation,2010,28.87981,9164059.36,Safely managed service
KEN,Kenya,urban,Sanitation,2010,24.11772,2360204.329,Safely managed service
KEN,Kenya,total,Sanitation,2010,34.16015,14182575.63,Unimproved
KEN,Kenya,rural,Sanitation,2010,38.50687,12218887.68,Unimproved
KEN,Kenya,urban,Sanitation,2010,20.06593,1963688.193,Unimproved
KEN,Kenya,total,Drinking water,2010,13.12056,5447378.824,Unimproved
KEN,Kenya,rural,Drinking water,2010,15.68577,4977362.655,Unimproved
KEN,Kenya,urban,Drinking water,2010,4.80286,470016.5552,Unimproved
KEN,Kenya,total,Drinking water,2011,55.37487,23609156.3,At least basic
KEN,Kenya,rural,Drinking water,2011,45.38591,14712263.19,At least basic
KEN,Kenya,urban,Drinking water,2011,87.06041,8896893.405,At least basic
KEN,Kenya,total,Hygiene,2011,37.08688,15812045.81,Basic service
KEN,Kenya,rural,Hygiene,2011,34.64686,11231100.71,Basic service
KEN,Kenya,urban,Hygiene,2011,44.82677,4580945.274,Basic service
KEN,Kenya,total,Sanitation,2011,4.05948,1730763.802,Basic service
KEN,Kenya,rural,Sanitation,2011,2.11636,686037.0567,Basic service
KEN,Kenya,urban,Sanitation,2011,10.22316,1044726.791,Basic service
KEN,Kenya,total,Hygiene,2011,28.31914,12073904.15,Limited service
KEN,Kenya,rural,Hygiene,2011,27.39299,8879691.149,Limited service
KEN,Kenya,urban,Hygiene,2011,31.25692,3194213.136,Limited service
KEN,Kenya,total,Sanitation,2011,21.5708,9196742.549,Limited service
KEN,Kenya,rural,Sanitation,2011,14.56648,4721860.68,Limited service
KEN,Kenya,urban,Sanitation,2011,43.78889,4474882.001,Limited service
KEN,Kenya,total,Drinking water,2011,7.96791,3397130.874,Limited service
KEN,Kenya,rural,Drinking water,2011,9.21547,2987278.637,Limited service
KEN,Kenya,urban,Drinking water,2011,4.0106,409852.2665,Limited service
KEN,Kenya,total,Hygiene,2011,34.59398,14749194.34,No handwashing facility
KEN,Kenya,rural,Hygiene,2011,37.96015,12305134.68,No handwashing facility
KEN,Kenya,urban,Hygiene,2011,23.91631,2444059.596,No handwashing facility
KEN,Kenya,total,Sanitation,2011,12.22298,5211284,Open defecation
KEN,Kenya,rural,Sanitation,2011,15.45561,5010079.994,Open defecation
KEN,Kenya,urban,Sanitation,2011,1.96888,201204.0435,Open defecation
KEN,Kenya,total,Drinking water,2011,23.85962,10172583.98,Surface water
KEN,Kenya,rural,Drinking water,2011,30.05978,9744156.348,Surface water
KEN,Kenya,urban,Drinking water,2011,4.19237,428427.7032,Surface water
KEN,Kenya,total,Sanitation,2011,28.06828,11966953.1,Safely managed service
KEN,Kenya,rural,Sanitation,2011,29.21681,9470901.069,Safely managed service
KEN,Kenya,urban,Sanitation,2011,24.42508,2496052.151,Safely managed service
KEN,Kenya,total,Sanitation,2011,34.07846,14529400.49,Unimproved
KEN,Kenya,rural,Sanitation,2011,38.64473,12527047.2,Unimproved
KEN,Kenya,urban,Sanitation,2011,19.59399,2002352.981,Unimproved
KEN,Kenya,total,Drinking water,2011,12.79759,5456272.848,Unimproved
KEN,Kenya,rural,Drinking water,2011,15.33884,4972227.821,Unimproved
KEN,Kenya,urban,Drinking water,2011,4.73661,484044.6257,Unimproved
KEN,Kenya,total,Drinking water,2012,56.06989,24517010.24,At least basic
KEN,Kenya,rural,Drinking water,2012,46.10131,15244415.53,At least basic
KEN,Kenya,urban,Drinking water,2012,86.99635,9272595.512,At least basic
KEN,Kenya,total,Hygiene,2012,37.12831,16234654.96,Basic service
KEN,Kenya,rural,Hygiene,2012,34.64686,11456748.09,Basic service
KEN,Kenya,urban,Hygiene,2012,44.82677,4777907.375,Basic service
KEN,Kenya,total,Sanitation,2012,4.13569,1808362.628,Basic service
KEN,Kenya,rural,Sanitation,2012,2.12594,702989.8907,Basic service
KEN,Kenya,urban,Sanitation,2012,10.37071,1105372.745,Basic service
KEN,Kenya,total,Hygiene,2012,28.33486,12389646.65,Limited service
KEN,Kenya,rural,Hygiene,2012,27.39299,9058095.663,Limited service
KEN,Kenya,urban,Hygiene,2012,31.25692,3331551.368,Limited service
KEN,Kenya,total,Sanitation,2012,21.81342,9538094.506,Limited service
KEN,Kenya,rural,Sanitation,2012,14.69283,4858507.889,Limited service
KEN,Kenya,urban,Sanitation,2012,43.90432,4679586.948,Limited service
KEN,Kenya,total,Drinking water,2012,8.0419,3516384.47,Limited service
KEN,Kenya,rural,Drinking water,2012,9.35294,3092755.894,Limited service
KEN,Kenya,urban,Drinking water,2012,3.97452,423628.6768,Limited service
KEN,Kenya,total,Hygiene,2012,34.53682,15101504.34,No handwashing facility
KEN,Kenya,rural,Hygiene,2012,37.96015,12552360.79,No handwashing facility
KEN,Kenya,urban,Hygiene,2012,23.91631,2549144.263,No handwashing facility
KEN,Kenya,total,Sanitation,2012,11.68136,5107768.189,Open defecation
KEN,Kenya,rural,Sanitation,2012,14.84434,4908608.472,Open defecation
KEN,Kenya,urban,Sanitation,2012,1.86854,199159.8546,Open defecation
KEN,Kenya,total,Drinking water,2012,23.41228,10237207.77,Surface water
KEN,Kenya,rural,Drinking water,2012,29.55383,9772624.748,Surface water
KEN,Kenya,urban,Drinking water,2012,4.35876,464583.2975,Surface water
KEN,Kenya,total,Sanitation,2012,28.37939,12409116.22,Safely managed service
KEN,Kenya,rural,Sanitation,2012,29.55429,9772777.875,Safely managed service
KEN,Kenya,urban,Sanitation,2012,24.73437,2636338.72,Safely managed service
KEN,Kenya,total,Sanitation,2012,33.99014,14862464.53,Unimproved
KEN,Kenya,rural,Sanitation,2012,38.7826,12824319.86,Unimproved
KEN,Kenya,urban,Sanitation,2012,19.12206,2038144.765,Unimproved
KEN,Kenya,total,Drinking water,2012,12.47594,5455203.523,Unimproved
KEN,Kenya,rural,Drinking water,2012,14.99192,4957407.827,Unimproved
KEN,Kenya,urban,Drinking water,2012,4.67036,497795.5135,Unimproved
KEN,Kenya,total,Drinking water,2013,56.7631,25425538.2,At least basic
KEN,Kenya,rural,Drinking water,2013,46.81692,15771003.01,At least basic
KEN,Kenya,urban,Drinking water,2013,86.93222,9654535.441,At least basic
KEN,Kenya,total,Hygiene,2013,37.17087,16649711.4,Basic service
KEN,Kenya,rural,Hygiene,2013,34.64686,11671331.35,Basic service
